id,inn,ogrn,name,status,address,registration_date
1,7707083893,1027700132195,"ПАО Сбербанк","active","г. Москва, ул. Вавилова, д. 19","1991-06-20"
2,7702070139,1027700132196,"ПАО Газпром","active","г. Москва, ул. Наметкина, д. 16","1993-02-17"
3,7707083894,1027700132197,"ПАО Лукойл","active","г. Москва, ул. Сретенский бульвар, д. 11","1991-11-25"
4,7702070140,1027700132198,"ПАО Роснефть","active","г. Москва, ул. Софийская набережная, д. 26/1","1993-04-14"
5,7707083895,1027700132199,"ПАО Новатэк","active","г. Москва, ул. Удальцова, д. 2, стр. 1","1994-08-04"
6,7702070141,1027700132200,"ПАО Северсталь","active","г. Череповец, ул. Мира, д. 30","1993-12-24"
7,7707083896,1027700132201,"ПАО НЛМК","active","г. Липецк, пл. Металлургов, д. 1","1993-03-18"
8,7702070142,1027700132202,"ПАО Яндекс","active","г. Москва, ул. Льва Толстого, д. 16","2000-09-07"
9,7707083897,1027700132203,"ПАО Магнит","active","г. Краснодар, ул. Солнечная, д. 15","1994-01-20"
10,7702070143,1027700132204,"ПАО X5 Retail Group","active","г. Москва, ул. Шаболовка, д. 31Б","2006-05-18"