id,company_id,customer,amount,date
1,1,"Правительство РФ",5000000000.0,"2023-01-15"
2,1,"Минфин России",3000000000.0,"2023-03-20"
3,1,"Центральный банк РФ",2500000000.0,"2023-05-10"
4,2,"ПАО Газпром нефть",8000000000.0,"2023-02-10"
5,2,"ПАО Лукойл",6000000000.0,"2023-04-15"
6,2,"ПАО Роснефть",7000000000.0,"2023-06-01"
7,3,"ПАО Газпром",9000000000.0,"2023-03-01"
8,3,"ПАО Роснефть",7500000000.0,"2023-05-20"
9,3,"ПАО Новатэк",5500000000.0,"2023-07-10"
10,4,"ПАО Газпром",8500000000.0,"2022-11-15"
11,4,"ПАО Лукойл",6500000000.0,"2023-01-20"
12,5,"ПАО Газпром",8000000000.0,"2023-02-15"
13,5,"ПАО Роснефть",7000000000.0,"2023-04-10"
14,5,"ПАО Лукойл",6000000000.0,"2023-06-05"
15,6,"ПАО Северсталь",4500000000.0,"2023-03-15"
16,6,"ПАО НЛМК",4000000000.0,"2023-05-25"
17,7,"ПАО НЛМК",4200000000.0,"2023-02-20"
18,7,"ПАО Северсталь",3800000000.0,"2023-04-30"
19,8,"ПАО Яндекс",3500000000.0,"2023-01-10"
20,8,"ПАО Mail.ru Group",2800000000.0,"2023-03-25"
21,9,"ПАО Магнит",3200000000.0,"2023-02-05"
22,9,"ПАО X5 Retail Group",3000000000.0,"2023-04-20"
23,10,"ПАО X5 Retail Group",2800000000.0,"2023-01-30"
24,10,"ПАО Магнит",2600000000.0,"2023-05-15"